YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH,WS2M,RAD,VPD,PPT,CPPT,CT2M
2003,55,24.66,33.61,15.48,38.58,1.61,18.86,2.021146132,0,11.61,66.92
2003,60,26.8,35.75,17.57,27.96,2.66,23.2,2.488243121,0,11.61,93.72
2003,65,21.76,33.38,11.7,15.55,2.3,24.9,2.27373083,0.01,11.62,115.48
2003,70,24.72,34.64,16.05,22.24,2.08,22.27,2.60311608,1.64,13.26,140.2
2003,75,24.6,32.68,18.31,48.04,2.04,21.76,1.840213566,22.13,35.39,164.8
2003,80,27.36,36.68,18.47,33.85,1.24,24.67,2.574399377,1.75,37.14,192.16
2003,85,28.61,37.22,19.98,34.77,1.83,23.69,2.697338144,1.94,39.08,220.77
2003,90,28.29,36.8,20.41,25.47,2.85,25.48,2.928998384,0,39.08,249.06
2003,95,29.59,37.02,22.99,19.25,1.58,23.32,3.279084502,4.06,43.14,278.65
2003,100,32.77,40.96,24.68,19.55,1.78,25.42,3.968363864,0.42,43.56,311.42
2003,105,32.27,41.65,24.36,18.54,2.68,26.9,4.096299559,0.06,43.62,343.69
2003,110,32.6,42.32,23.45,11.99,2.21,27.9,4.304462598,0,43.62,376.29
2003,115,32.03,39.85,23.79,31.99,2.43,23.97,3.346660116,5.33,48.95,408.32
2003,120,31.71,40.8,23.99,15.87,2.83,28.01,4.077706734,0,48.95,440.03
2003,125,30.98,40.45,22.01,10.56,2.54,27.43,4.006421749,0,48.95,471.01
2003,130,34.18,42.4,25.62,17.64,2.06,23.73,4.465616601,0,48.95,505.19
2003,135,35.16,43,27.32,14.68,3.01,26.18,4.74224743,0,48.95,540.35
2003,140,35.45,42.34,27.52,19.3,2.51,24.52,4.720866203,0.11,49.06,575.8
2003,145,35.6,42.46,28.21,19.17,3.19,25.38,4.777744525,0.01,49.07,611.4
2003,150,35.91,44.08,27.73,12.77,2.74,26.05,5.18666023,0,49.07,647.31
2003,155,36.05,43.12,29.42,27.38,4.33,26.67,4.445422404,2.32,51.39,683.36
2003,160,32.22,39.19,27.41,46.72,3.19,24.6,2.665683036,17.95,69.34,715.58
2003,165,30.49,36.81,24.92,57.86,3.07,19.49,1.940843396,15.4,84.74,746.07
2003,170,28.03,33.96,23.96,73.7,2.38,17.63,1.077311823,50.54,135.28,774.1
2003,175,25.18,27.81,23.22,88.88,3,11.23,0.365160069,110.43,245.71,799.28
2003,180,25.97,29.66,23.09,85.24,1.87,18.53,0.518742234,40.38,286.09,825.25
2003,185,26.39,29.84,23.4,84.4,2.74,13.52,0.562477222,30.88,316.97,851.64
2003,190,25.21,28.73,23.09,87.81,2.38,14.32,0.403325316,43.01,359.98,876.85
2003,195,26.81,30.76,23.66,82.84,1.37,17.45,0.627600368,28.7,388.68,903.66
2003,200,25.42,28.22,23.6,91.17,3.08,10.82,0.294291628,65.74,454.42,929.08
2003,205,25.77,29.46,23.19,85.54,3.46,12.59,0.504922862,62.06,516.48,954.85
2003,210,24.59,27.8,22.57,87.95,3.3,12.34,0.385441916,2.62,519.1,979.44
2003,215,23.71,25.7,22.1,90.78,4.03,9.71,0.275520072,43.56,562.66,1003.15
2003,220,26.93,30.74,23.46,84.15,1.74,19.26,0.588231761,117.25,679.91,1030.08
2003,225,24.42,26.98,22.31,92.44,3.35,7.82,0.233251586,95.95,775.86,1054.5
2003,230,24.71,27.56,22.66,90.96,3.27,7.29,0.29712389,22.3,798.16,1079.21
2003,235,25.25,28.21,22.6,90.94,2.73,13.4,0.302698095,70.38,868.54,1104.46
2003,240,24.23,26.87,22.57,93.55,3.22,11.56,0.195466114,88.82,957.36,1128.69
2003,245,24.12,25.72,22.66,95.76,3.51,5,0.123874187,111.81,1069.17,1152.81
2003,250,23.49,25.96,21.76,93.82,4.19,7.36,0.178112621,110.4,1179.57,1176.3
2003,255,23.71,26.1,22.04,94.15,3.4,10.49,0.170162443,79.17,1258.74,1200.01
